"COUNTY","FullAddress","STATE","Month","Date","Year","lon","lat"
"CRAIG ","  440 WASHINGTON S ST, WELCH , OK","OK",5,10,2004,-95.098833,36.8732756
"CREEK ","  33684 193 WEST S AVE, BRISTOW , OK","OK",12,5,2000,-96.210365,35.6742996
"CREEK ","  45470 151ST SOUTH W, BRISTOW , OK","OK",6,28,2001,-96.5013297,35.944815
"CREEK ","  402 3RD W, BRISTOW , OK","OK",5,31,2002,-96.3970159,35.829546
"CREEK ","  45470 151ST W ST, BRISTOW , OK","OK",8,29,2002,-96.5013297,35.944815
"CREEK ","  207 WASHINGTON E, BRISTOW , OK","OK",9,3,2002,-96.388087,35.827711
"CREEK ","6TH  ST 519, BRISTOW , OK","OK",7,28,2003,-96.383798,35.833131
"CREEK ","  20456 401 W S AVE, BRISTOW , OK","OK",8,15,2003,-96.4488928,35.8670844
"CREEK ","  20601 401 W S ST, BRISTOW , OK","OK",8,20,2003,-96.4407638,35.9011585
"CREEK ","351 SOUTH W, BRISTOW , OK","OK",8,28,2003,-96.254699,35.653454
"CREEK ","49189 WEST 142ND STREET  , BRISTOW , OK","OK",3,15,2006,-96.538931,35.935791
"CREEK ","9021/2 WEST 9TH STREET  , BRISTOW , OK","OK",9,20,2010,-96.3910541,35.8358075
"CREEK ","20270 SOUTH 401ST WEST AVENUE  , BRISTOW , OK","OK",11,6,2010,-96.4490299,35.868027
"CREEK ","  28587 465 WEST S AVE, DEPEW , OK","OK",8,15,2002,-96.505419,35.747998
"CREEK ","  949 SPRUDY S, DEPEW , OK","OK",4,27,2004,-96.5061215,35.8028493
"CREEK ","  205 BRISTOWN  ST, DRUMRIGHT , OK","OK",5,9,2001,-96.6073366,35.9897929
"CREEK ","  400 VIRGINIA S AVE, DRUMRIGHT , OK","OK",8,29,2002,-96.596294,35.985875
"CREEK ","  316 OHIO N ST, DRUMRIGHT , OK","OK",8,15,2003,-96.599142,35.991098
"CREEK ","  112 WOOD E, DRUMRIGHT , OK","OK",8,26,2003,-96.601107,35.985875
"CREEK ","118 EAST 4TH STREET  , DRUMRIGHT , OK","OK",2,6,2009,-96.601116,35.98128
"CREEK ","105 EAST 3RD STREET  , DRUMRIGHT , OK","OK",3,13,2010,-96.6018357,35.9824167
"CREEK ","47519 WEST 51ST STREET  , JENNINGS , OK","OK",2,24,2010,-96.5242267,36.0901202
"CREEK ","  17 1/2 BUFFALO W ST, KELLYVILLE , OK","OK",10,6,2000,-96.2168913,35.9435103
"CREEK ","  8235 127TH WEST S AVE, KELLYVILLE , OK","OK",9,19,2001,-96.2136136,35.9436968
"CREEK ","  16118 MAPLE  DR B, KELLYVILLE , OK","OK",10,13,2003,-96.1933774,35.9298983
"CREEK ","  18318 167TH W ST, KELLYVILLE , OK","OK",3,30,2004,-96.1972,35.921454
"CREEK ","26275 WEST 171ST STREET  , KELLYVILLE , OK","OK",8,2,2009,-96.2618907,35.9122442
"CREEK ","441 EAST ALLEN STREET  , KELLYVILLE , OK","OK",8,9,2010,-96.210969,35.945087
"CREEK ","20843  INDIAN ROAD  , KELLYVILLE , OK","OK",9,10,2010,-96.225671,35.902055
"CREEK ","14756 SOUTH 246TH WEST AVENUE  , KELLYVILLE , OK","OK",10,28,2010,-96.2136136,35.9436968
"CREEK ","18425 SOUTH 177TH W AVENUE  , KELLYVILLE , OK","OK",11,17,2010,-96.190344,35.8967389
"CREEK ","  207 BROADWAY W ST, KIEFER , OK","OK",7,26,2001,-96.0670672,35.943254
"CREEK ","112  STARK STREET  , KIEFER , OK","OK",3,27,2006,-96.0570348,35.9423039
"CREEK ","  125 GARDENIA  CIR  1040, MANNFORD , OK","OK",1,28,2001,-96.356256,36.122247
"CREEK ","369TH W AVE, MANNFORD , OK","OK",2,8,2001,-96.4050284,36.0666862
"CREEK ","  132 LAKE COUNTY, MANNFORD , OK","OK",3,15,2002,-96.340581,36.118544
"CREEK ","  39484 HIGHWAY 33 W, MANNFORD , OK","OK",8,7,2002,-96.4337189,36.0030304
"CREEK ","  36927 53 W, MANNFORD , OK","OK",1,2,2003,-96.2744342,36.0866745
"CREEK ","5822 SOUTH US HIGHWAY 48, MANNFORD , OK","OK",4,22,2009,-96.388289,36.080073
"CREEK ","8226 SOUTH HWY 48, MANNFORD , OK","OK",8,11,2010,-96.392213,36.044655
"CREEK ","3547 SOUTH 369TH W AVENUE  , MANNFORD , OK","OK",2,8,2012,-96.402269,36.112811
"CREEK ","  13145 EDWARDS  RD, MOUNDS , OK","OK",2,18,2000,-96.0606892,35.8715222
"CREEK ","  8430 183RD  ST, MOUNDS , OK","OK",2,1,2001,-96.0909485,35.8981336
"CREEK ","  358 220 N RD, MOUNDS , OK","OK",3,26,2003,-95.9797344,35.8510504
"CREEK ","18391 SOUTH 89TH WEST AVENUE  , MOUNDS , OK","OK",7,15,2010,-96.088211,35.896768
"CREEK ","117 EAST 5TH STREET  , MOUNDS , OK","OK",8,24,2010,-96.0583312,35.868348
"CREEK ","17639 SOUTH 49TH WEST AVENUE  , MOUNDS , OK","OK",11,3,2010,-96.0474388,35.9067718
"CREEK ","6300  W 61 STREET  , OAKHURST , OK","OK",3,28,2010,-96.0635771,36.075484
"CREEK ","  190 WEKIWA W RD, SAND SPRINGS , OK","OK",1,9,2000,-96.1908325,36.149858
"CREEK ","  11506 56 W ST, SAND SPRINGS , OK","OK",1,17,2000,-96.1233868,36.0829198
"CREEK ","  1004 FORREST E DR, SAND SPRINGS , OK","OK",1,19,2000,-96.0970967,36.1452566
"CREEK ","6408  MERRIMACK DRIVE  , SAND SPRINGS , OK","OK",10,12,2006,-96.296806,36.071577
"CREEK ","27625  ROUND MOUNTAIN DRIVE  , SAND SPRINGS , OK","OK",8,31,2009,-96.295399,36.0848806
"CREEK ","  1015  JACKSON N E, SAPULPA , OK","OK",2,28,2000,-96.100014,36.002561
"CREEK ","  510 1ST N ST, SAPULPA , OK","OK",6,30,2000,-96.101819,36.004676
"CREEK ","  111 POPLAR N  D, SAPULPA , OK","OK",10,4,2000,-96.11524,36.0002769
"CREEK ","  225 LINDEN N ST, SAPULPA , OK","OK",11,3,2000,-96.101863,36.00237
"CREEK ","  122 MILL E, SAPULPA , OK","OK",11,17,2000,-96.1104522,35.9847769
"CREEK ","  113 1/2 BIRCH N, SAPULPA , OK","OK",1,21,2001,-96.1034545,35.9989649
"CREEK ","  4511 RAY W LN, SAPULPA , OK","OK",3,20,2001,-96.198559,36.023477
"CREEK ","  11379 153RD W S AVE, SAPULPA , OK","OK",5,27,2001,-96.162947,35.999487
"CREEK ","  7836 65TH WEST S AVE, SAPULPA , OK","OK",6,11,2001,-96.066459,36.0488209
"CREEK ","  7379 58TH W S AVE, SAPULPA , OK","OK",7,16,2001,-96.058644,36.057023
"CREEK ","  713 12TH N ST, SAPULPA , OK","OK",7,24,2001,-96.115971,36.007117
"CREEK ","  2611 HICKORY BLUFF  RD, SAPULPA , OK","OK",9,17,2001,-96.165389,35.999441
"CREEK ","  3120 HICKORY BLUFF  RD, SAPULPA , OK","OK",9,17,2001,-96.1748503,35.9978533
"CREEK ","  5411 RAY W LN, SAPULPA , OK","OK",9,21,2001,-96.1995715,36.0230486
"CREEK ","  2207 CEDAR S ST, SAPULPA , OK","OK",1,22,2002,-96.117333,35.972709
"CREEK ","  1501 9TH N ST 41, SAPULPA , OK","OK",2,9,2002,-96.110825,36.0182659
"CREEK ","  8718 SUNSET  DR, SAPULPA , OK","OK",2,21,2002,-96.08986,35.947459
"CREEK ","  2203 MAIN S ST, SAPULPA , OK","OK",5,25,2002,-96.112508,35.972513
"CREEK ","  12033 250TH WEST S AVE, SAPULPA , OK","OK",12,13,2002,-96.271547,35.989246
"CREEK ","  1301 PARK S ST C24, SAPULPA , OK","OK",12,12,2003,-96.1070718,35.9821508
"CREEK ","  9608 71ST SOUTH W ST  9608, SAPULPA , OK","OK",1,26,2004,-96.1000464,36.062992
"CREEK ","  1003 PFENDLER E ST, SAPULPA , OK","OK",2,19,2004,-96.1006648,36.0038345
"CREEK ","  222 DEWEY W AVE, SAPULPA , OK","OK",10,4,2005,-96.118225,35.998241
"CREEK ","505 NORTH 2ND STREET  , SAPULPA , OK","OK",8,29,2006,-96.102393,36.004607
"CREEK ","7925  NEW SAPULPA ROAD  , SAPULPA , OK","OK",10,16,2008,-96.0937305,36.0221711
"CREEK ","1138 EAST JONES AVENUE  , SAPULPA , OK","OK",1,8,2009,-96.096962,36.005439
"CREEK ","16136 SOUTH HICKORY  67 , SAPULPA , OK","OK",1,10,2009,-96.1205014,35.9294086
"CREEK ","12224  SHAW DRIVE  , SAPULPA , OK","OK",2,2,2009,-96.140454,35.9862113
"CREEK ","17365 SOUTH 97TH WEST AVENUE  , SAPULPA , OK","OK",4,1,2009,-96.1010041,35.913165
"CREEK ","811 NORTH 10TH, SAPULPA , OK","OK",4,14,2009,-96.1127429,36.0085551
"CREEK ","420 WEST BRYAN AVENUE  , SAPULPA , OK","OK",4,24,2009,-96.1196978,35.9927282
"CREEK ","8333 SOUTH 127TH WEST AVENUE  , SAPULPA , OK","OK",6,15,2009,-96.1347244,36.0403265
"CREEK ","11578  W 86TH ST S, SAPULPA , OK","OK",7,2,2009,-96.122073,36.038728
"CREEK ","9203  GRANT STREET  , SAPULPA , OK","OK",7,31,2009,-96.1311209,36.029925
"CREEK ","12117 SOUTH SHAW DRIVE  , SAPULPA , OK","OK",8,4,2009,-96.1412006,35.9870339
"CREEK ","14839 SOUTH 106TH WEST PLACE 25 , SAPULPA , OK","OK",8,25,2009,-96.1111642,35.9173889
"CREEK ","720 SOUTH INDEPENDENCE STREET  , SAPULPA , OK","OK",9,22,2009,-96.12054,35.989911
"CREEK ","418 NORTH 3RD STREET  , SAPULPA , OK","OK",10,19,2009,-96.1043971,36.003688
"CREEK ","317 SOUTH HAWTHORN STREET  , SAPULPA , OK","OK",11,13,2009,-96.1277537,35.9945276
"CREEK ","540  QUAIL RUN LANE  , SAPULPA , OK","OK",1,27,2010,-96.084108,36.006285
"CREEK ","11322 SOUTH 193RD WEST AVENUE  , SAPULPA , OK","OK",2,2,2010,-96.20874,36.000023
"CREEK ","9701  NEW SAPULPA ROAD 29A , SAPULPA , OK","OK",3,15,2010,-96.092722,36.022473
"CREEK ","1469 EAST JONES, SAPULPA , OK","OK",7,10,2010,-96.089022,36.006188
"CREEK ","12418 SOUTH 241 WEST AVENUE  , SAPULPA , OK","OK",7,16,2010,-96.268737,35.983638
"CREEK ","15248  GREENHILL DRIVE  , SAPULPA , OK","OK",7,28,2010,-96.0887865,35.9427571
"CREEK ","11379 SOUTH 153RD  W. AVENUE  , SAPULPA , OK","OK",7,29,2010,-96.162947,35.999487
"CREEK ","623 SOUTH ELM, SAPULPA , OK","OK",8,20,2010,-96.1092587,35.9912258
"CREEK ","212  DIVISION, SAPULPA , OK","OK",9,7,2010,-96.101257,35.996379
